,title,id,ontologyId,resultType,address,position,access,distance,categories,chains,references,contacts,openingHours,foodTypes,lat,lng
109,Shell,here:pds:place:608wdqn5-f33a396136404ec68924a38ab01a1fe3,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Shell, M. H. del Pilar St, 4200 Batangas City, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Calabarzon', 'county': 'Batangas', 'city': 'Batangas City', 'district': 'Pallocan Silangan', 'street': 'M. H. del Pilar St', 'postalCode': '4200'}","{'lat': 13.75396, 'lng': 121.07015}","[{'lat': 13.75395, 'lng': 121.07015}]",1357,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '10'}],"[{'supplier': {'id': 'core'}, 'id': '1048349339'}]","[{'phone': [{'value': '+634387237065'}], 'www': [{'value': 'http://www.shell.com.ph/'}], 'email': [{'value': 'shellcustomercare@shell.com'}]}]",,,13.75396,121.07015
110,Shell,here:pds:place:608w9xm6-66a4e8ce570a42ce8066706801ab209f,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Shell, National Hwy, 6221 Bayawan, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Central Visayas', 'county': 'Negros Oriental', 'city': 'Bayawan', 'district': 'Villareal', 'street': 'National Hwy', 'postalCode': '6221'}","{'lat': 9.36484, 'lng': 122.80593}","[{'lat': 9.36482, 'lng': 122.80592}]",207,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '10'}],"[{'supplier': {'id': 'core'}, 'id': '1118542658'}]","[{'phone': [{'value': '+63288788888'}, {'value': '+633585310551'}], 'www': [{'value': 'http://www.shell.com.ph/'}, {'value': 'https://find.shell.com/ph/fuel/10022158-sh-bayawan-negros-orientl'}, {'value': 'https://find.shell.com/ph/fuel/10022158-sh-bayawan-negros-orientl-doss'}], 'email': [{'value': 'shellcustomercare@shell.com'}]}]","[{'text': ['Mon-Sun: 05:00 - 21:00'], 'isOpen': True, 'structured': [{'start': 'T050000', 'duration': 'PT16H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]",,9.36484,122.80593
111,Sea Oil,here:pds:place:608w9xm6-7f48af58abee497e989101e9a6238fd7,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Sea Oil, National Hwy, 6221 Bayawan, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Central Visayas', 'county': 'Negros Oriental', 'city': 'Bayawan', 'district': 'Villareal', 'street': 'National Hwy', 'postalCode': '6221'}","{'lat': 9.36437, 'lng': 122.80716}","[{'lat': 9.36434, 'lng': 122.80715}]",310,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '8673'}],"[{'supplier': {'id': 'core'}, 'id': '1200726239'}]",,,,9.36437,122.80716
112,Petron,here:pds:place:608jx7ps-b07064e8eee70a8f8a4b3d061c4a5991,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Petron, 6221 Bayawan, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Central Visayas', 'county': 'Negros Oriental', 'city': 'Bayawan', 'district': 'Tinago Pob.', 'postalCode': '6221'}","{'lat': 9.36399, 'lng': 122.80364}","[{'lat': 9.36398, 'lng': 122.80366}]",365,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}, {'id': '600-6000-0061', 'name': 'Convenience Store'}]",[{'id': '7065'}],"[{'supplier': {'id': 'core'}, 'id': '1194184884'}, {'supplier': {'id': 'core'}, 'id': '1200726240'}, {'supplier': {'id': 'core'}, 'id': '1200727858'}]",,,,9.36399,122.80364
113,Caltex,here:pds:place:608w9xm6-fd353ceca3cf420a89cfb13051beff5c,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Caltex, National Hwy, 6221 Bayawan, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Central Visayas', 'county': 'Negros Oriental', 'city': 'Bayawan', 'district': 'Villareal', 'street': 'National Hwy', 'postalCode': '6221'}","{'lat': 9.36319, 'lng': 122.81006}","[{'lat': 9.36318, 'lng': 122.81006}]",627,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '878'}],"[{'supplier': {'id': 'core'}, 'id': '1200726241'}]",,,,9.36319,122.81006
114,Red Skin Fuel Station,here:pds:place:608w9xm6-53b9ea470e0e4ba2acd3178084a917b0,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Red Skin Fuel Station, National Hwy, 6221 Bayawan, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Central Visayas', 'county': 'Negros Oriental', 'city': 'Bayawan', 'district': 'Banga', 'street': 'National Hwy', 'postalCode': '6221'}","{'lat': 9.37129, 'lng': 122.79042}","[{'lat': 9.37128, 'lng': 122.79042}]",1739,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1200726284'}]",,,,9.37129,122.79042
115,Petron,here:pds:place:608w9xm4-524f08375149472fb694eae876b6db16,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Petron, Sta. Catalina-Bayawan Rd, 6221 Bayawan, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Central Visayas', 'county': 'Negros Oriental', 'city': 'Bayawan', 'district': 'Villareal', 'street': 'Sta. Catalina-Bayawan Rd', 'postalCode': '6221'}","{'lat': 9.35852, 'lng': 122.82195}","[{'lat': 9.35853, 'lng': 122.82196}]",2014,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '7065'}],"[{'supplier': {'id': 'core'}, 'id': '1200717973'}]",,,,9.35852,122.82195
116,Villareal Gasoline Station,here:pds:place:608w9xm5-ab9cf85098eb4fec89c5d9784f05b5c7,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Villareal Gasoline Station, National Hwy, 6221 Bayawan, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Central Visayas', 'county': 'Negros Oriental', 'city': 'Bayawan', 'district': 'Villareal', 'street': 'National Hwy', 'postalCode': '6221'}","{'lat': 9.35467, 'lng': 122.83227}","[{'lat': 9.35466, 'lng': 122.83226}]",3220,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1200718231'}]",,,,9.35467,122.83227
117,K-Lana Gasoline Station,here:pds:place:608jx7ps-80261c6981c00355e602c8d301e93983,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'K-Lana Gasoline Station, National Hwy, 6221 Bayawan, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Central Visayas', 'county': 'Negros Oriental', 'city': 'Bayawan', 'district': 'Villareal', 'street': 'National Hwy', 'postalCode': '6221'}","{'lat': 9.35413, 'lng': 122.83338}","[{'lat': 9.35415, 'lng': 122.83339}]",3356,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1118541561'}]",,,,9.35413,122.83338
118,Poblacion Petrol Station,here:pds:place:608w9xm5-69e651fd2cf54c69b677b434813c0fc7,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Poblacion Petrol Station, National Hwy, 6220 Santa Catalina, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Central Visayas', 'county': 'Negros Oriental', 'city': 'Santa Catalina', 'district': 'Poblacion', 'street': 'National Hwy', 'postalCode': '6220'}","{'lat': 9.33615, 'lng': 122.86094}","[{'lat': 9.33613, 'lng': 122.86091}]",6960,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1200726363'}]",,,,9.33615,122.86094
119,Petron,here:pds:place:608jx7ps-8b703643bdde04a307351af0e280bf7e,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Petron, National Hwy, 6220 Santa Catalina, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Central Visayas', 'county': 'Negros Oriental', 'city': 'Santa Catalina', 'district': 'Poblacion', 'street': 'National Hwy', 'postalCode': '6220'}","{'lat': 9.33607, 'lng': 122.86101}","[{'lat': 9.33604, 'lng': 122.86098}]",6971,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '7065'}],"[{'supplier': {'id': 'core'}, 'id': '1118544699'}]",,,,9.33607,122.86101
120,Sea Oil,here:pds:place:608wcbsx-fd81f2993c28ed4e5ccd5f699ebc2df5,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Sea Oil, 6521 Baybay, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Eastern Visayas', 'county': 'Leyte', 'city': 'Baybay', 'district': 'Poblacion Zone 10', 'postalCode': '6521'}","{'lat': 10.67518, 'lng': 124.79883}","[{'lat': 10.67517, 'lng': 124.79882}]",307,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '8673'}],"[{'supplier': {'id': 'core'}, 'id': '1220020756'}]",,,,10.67518,124.79883
121,Petron,here:pds:place:608jx7ps-79c85424b9d40f663933e4fb8e1a792d,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Petron, R. Magsaysay Ave, 6521 Baybay, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Eastern Visayas', 'county': 'Leyte', 'city': 'Baybay', 'district': 'Poblacion Zone 10', 'street': 'R. Magsaysay Ave', 'postalCode': '6521'}","{'lat': 10.67485, 'lng': 124.79994}","[{'lat': 10.67484, 'lng': 124.79993}]",421,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '7065'}],"[{'supplier': {'id': 'core'}, 'id': '1113208993'}]",,,,10.67485,124.79994
122,Petron,here:pds:place:608jx7ps-25a68a6cce35017de8ba5941fceacc47,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Petron, Albuera-Baybay Rd, 6521 Baybay, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Eastern Visayas', 'county': 'Leyte', 'city': 'Baybay', 'district': 'Candadam', 'street': 'Albuera-Baybay Rd', 'postalCode': '6521'}","{'lat': 10.69275, 'lng': 124.80042}","[{'lat': 10.69276, 'lng': 124.80045}]",1768,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '30984'}],"[{'supplier': {'id': 'core'}, 'id': '1115635092'}, {'supplier': {'id': 'core'}, 'id': '1115635461'}]",,,,10.69275,124.80042
123,Petron,here:pds:place:608jx7ps-5961ee19d86d06092c248fbf49ce9b6a,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Petron, Tacloban-Baybay South Rd, 6521 Baybay, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Eastern Visayas', 'county': 'Leyte', 'city': 'Baybay', 'district': 'Poblacion Zone 23', 'street': 'Tacloban-Baybay South Rd', 'postalCode': '6521'}","{'lat': 10.66829, 'lng': 124.81036}","[{'lat': 10.66828, 'lng': 124.81036}]",1771,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '7065'}],"[{'supplier': {'id': 'core'}, 'id': '1115635431'}]",,,,10.66829,124.81036
124,Nfuels,here:pds:place:608wcbug-383597b0ead8952e4ca81c5037b9c153,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Nfuels, Maharlika Hwy, 6510 Abuyog, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Eastern Visayas', 'county': 'Leyte', 'city': 'Abuyog', 'district': 'Paguite', 'street': 'Maharlika Hwy', 'postalCode': '6510'}","{'lat': 10.70737, 'lng': 124.95759}","[{'lat': 10.70737, 'lng': 124.95758}]",17871,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1220020755'}]",,,,10.70737,124.95759
125,Mahaplag Gasoline Station,here:pds:place:608jx7ps-dcb6062927d80b8c7a23bef9657c5138,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Mahaplag Gasoline Station, Hilosig-Sogod Rd, 6512 Mahaplag, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Eastern Visayas', 'county': 'Leyte', 'city': 'Mahaplag', 'district': 'San Isidro', 'street': 'Hilosig-Sogod Rd', 'postalCode': '6512'}","{'lat': 10.60554, 'lng': 124.96304}","[{'lat': 10.60554, 'lng': 124.96303}]",19825,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1115635026'}]",,,,10.60554,124.96304
126,Petron,here:pds:place:608jx7ps-7fda62dc4a6c0e58985c52930cd16509,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Petron, Daang Maharlika, 6512 Mahaplag, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Eastern Visayas', 'county': 'Leyte', 'city': 'Mahaplag', 'district': 'San Isidro', 'street': 'Daang Maharlika', 'postalCode': '6512'}","{'lat': 10.60196, 'lng': 124.96174}","[{'lat': 10.60196, 'lng': 124.96173}]",19859,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '7065'}],"[{'supplier': {'id': 'core'}, 'id': '1115635466'}]",,,,10.60196,124.96174
127,Petron,here:pds:place:608jx7ps-598fd6010041095dade6947145e94b38,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Petron, Ormoc-Baybay-Southern Leyte Bdry Rd, 6522 Inopacan, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Eastern Visayas', 'county': 'Leyte', 'city': 'Inopacan', 'district': 'Poblacion', 'street': 'Ormoc-Baybay-Southern Leyte Bdry Rd', 'postalCode': '6522'}","{'lat': 10.50231, 'lng': 124.74498}","[{'lat': 10.50229, 'lng': 124.74499}]",20261,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '7065'}],"[{'supplier': {'id': 'core'}, 'id': '1113207029'}]",,,,10.50231,124.74498
128,Filoil,here:pds:place:608wcbew-2a2c152e4ff620bc3b25e7f3557356d5,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Filoil, San Roque St, 6522 Inopacan, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Eastern Visayas', 'county': 'Leyte', 'city': 'Inopacan', 'district': 'Poblacion', 'street': 'San Roque St', 'postalCode': '6522'}","{'lat': 10.4987, 'lng': 124.73945}","[{'lat': 10.49868, 'lng': 124.73946}]",20821,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '30984'}],"[{'supplier': {'id': 'core'}, 'id': '1220285032'}]",,,,10.4987,124.73945
129,Petron,here:pds:place:608wcbty-cf5711de879b450c857ac87df5ff5091,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Petron, Albuera-Baybay Rd, 6542 Albuera, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Eastern Visayas', 'county': 'Leyte', 'city': 'Albuera', 'district': 'Damula-an', 'street': 'Albuera-Baybay Rd', 'postalCode': '6542'}","{'lat': 10.85769, 'lng': 124.73353}","[{'lat': 10.85768, 'lng': 124.73352}]",21229,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '7065'}],"[{'supplier': {'id': 'core'}, 'id': '1204181513'}]",,,,10.85769,124.73353
130,Shell,here:pds:place:608jx7ps-50f679c07f210abf8436d65af1494e51,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Shell, Narra Ave, 8502 Baguyan, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Caraga', 'county': 'Agusan del Sur', 'city': 'Baguyan', 'district': 'Poblacion', 'street': 'Narra Ave', 'postalCode': '8502'}","{'lat': 8.71495, 'lng': 125.74732}","[{'lat': 8.71472, 'lng': 125.74741}]",119,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}, {'id': '600-6000-0061', 'name': 'Convenience Store'}]",[{'id': '10'}],"[{'supplier': {'id': 'core'}, 'id': '1126147755'}]","[{'www': [{'value': 'https://find.shell.com/ph/fuel/11907791-sh-p22-poblacion-bayugan', 'categories': [{'id': '700-7600-0116'}]}]}]",,,8.71495,125.74732
131,Phoenix,here:pds:place:608jx7ps-b6c7280d642f03ede21f661255320280,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Phoenix, Narra Ave, 8502 Baguyan, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Caraga', 'county': 'Agusan del Sur', 'city': 'Baguyan', 'district': 'Poblacion', 'street': 'Narra Ave', 'postalCode': '8502'}","{'lat': 8.71661, 'lng': 125.74161}","[{'lat': 8.71659, 'lng': 125.7416}]",759,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '963'}],"[{'supplier': {'id': 'core'}, 'id': '1126150576'}, {'supplier': {'id': 'core'}, 'id': '1176031108'}]",,,,8.71661,125.74161
132,ABC,here:pds:place:608jx7ps-9ac33f7fc89b05976286963d6cd9e555,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'ABC, Daang Maharlika, 8502 Baguyan, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Caraga', 'county': 'Agusan del Sur', 'city': 'Baguyan', 'district': 'Poblacion', 'street': 'Daang Maharlika', 'postalCode': '8502'}","{'lat': 8.71696, 'lng': 125.74098}","[{'lat': 8.71695, 'lng': 125.74097}]",838,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1130571550'}]",,,,8.71696,125.74098
133,Shell,here:pds:place:608jx7ps-67a927a732a80905c6ba23547c28c1f7,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Shell, Narra Ave, 8502 Baguyan, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Caraga', 'county': 'Agusan del Sur', 'city': 'Baguyan', 'district': 'Poblacion', 'street': 'Narra Ave', 'postalCode': '8502'}","{'lat': 8.71352, 'lng': 125.75567}","[{'lat': 8.71351, 'lng': 125.75567}]",840,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '10'}],"[{'supplier': {'id': 'core'}, 'id': '1126147756'}, {'supplier': {'id': 'core'}, 'id': '1126152329'}]","[{'phone': [{'value': '+639177230907'}], 'www': [{'value': 'https://find.shell.com/ph/fuel/11907791-sh-p22-poblacion-bayugan'}]}]","[{'text': ['Mon-Sun: 00:00 - 24:00'], 'isOpen': True, 'structured': [{'start': 'T000000', 'duration': 'PT24H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]",,8.71352,125.75567
134,Petron,here:pds:place:608jx7ps-6223b5fd5cf20b13b82da1a6f0af9020,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Petron, Daang Maharlika, 8502 Baguyan, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Caraga', 'county': 'Agusan del Sur', 'city': 'Baguyan', 'district': 'Taglatawan', 'street': 'Daang Maharlika', 'postalCode': '8502'}","{'lat': 8.71315, 'lng': 125.75803}","[{'lat': 8.71318, 'lng': 125.75803}]",1102,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}, {'id': '700-7850-0122', 'name': 'Car Repair'}]",[{'id': '7065'}],"[{'supplier': {'id': 'core'}, 'id': '1126152320'}, {'supplier': {'id': 'core'}, 'id': '1126152323'}]",[{'www': [{'value': 'https://www.petron.com/what-we-offer2.html'}]}],,,8.71315,125.75803
135,Caltex,here:pds:place:608jx7ps-694a5a482b8100ad607fa3326b69b606,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Caltex, Daang Maharlika, 8502 Baguyan, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Caraga', 'county': 'Agusan del Sur', 'city': 'Baguyan', 'district': 'Maygatasan', 'street': 'Daang Maharlika', 'postalCode': '8502'}","{'lat': 8.71899, 'lng': 125.73791}","[{'lat': 8.71898, 'lng': 125.7379}]",1238,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '878'}],"[{'supplier': {'id': 'core'}, 'id': '1130572167'}]",,,,8.71899,125.73791
136,Sea Oil,here:pds:place:608jx7ps-4d473632992d029481e8fcaa8c07bd19,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Sea Oil, Daang Maharlika, 8502 Baguyan, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Caraga', 'county': 'Agusan del Sur', 'city': 'Baguyan', 'district': 'Fili', 'street': 'Daang Maharlika', 'postalCode': '8502'}","{'lat': 8.71257, 'lng': 125.76251}","[{'lat': 8.71259, 'lng': 125.76251}]",1598,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '8673'}],"[{'supplier': {'id': 'core'}, 'id': '1130294088'}]",,,,8.71257,125.76251
137,Phoenix,here:pds:place:608jx7ps-10e4a6bf484d03ec4a535f4f28ccb18c,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Phoenix, Daang Maharlika, 8502 Baguyan, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Caraga', 'county': 'Agusan del Sur', 'city': 'Baguyan', 'district': 'Fili', 'street': 'Daang Maharlika', 'postalCode': '8502'}","{'lat': 8.712, 'lng': 125.76689}","[{'lat': 8.71202, 'lng': 125.76689}]",2084,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '963'}],"[{'supplier': {'id': 'core'}, 'id': '1126151450'}]",,,,8.712,125.76689
138,Caltex,here:pds:place:608wc93t-fb0cbcf5e8ac4d22b2d66f56d545547b,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Caltex, Daang Maharlika, 8502 Baguyan, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Caraga', 'county': 'Agusan del Sur', 'city': 'Baguyan', 'district': 'Noli', 'street': 'Daang Maharlika', 'postalCode': '8502'}","{'lat': 8.73409, 'lng': 125.72762}","[{'lat': 8.73432, 'lng': 125.72806}]",3155,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '878'}],"[{'supplier': {'id': 'core'}, 'id': '1211238763'}]",,"[{'text': ['Mon-Thu, Sat, Sun: 06:00 - 20:00'], 'isOpen': True, 'structured': [{'start': 'T060000', 'duration': 'PT14H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,SA,SU'}]}]",,8.73409,125.72762
139,AJV Fuels,here:pds:place:608jx7ps-00250b10c1e30b3178ea9ea898961cff,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'AJV Fuels, Daang Maharlika, 8502 Baguyan, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Caraga', 'county': 'Agusan del Sur', 'city': 'Baguyan', 'district': 'Canayugan', 'street': 'Daang Maharlika', 'postalCode': '8502'}","{'lat': 8.75048, 'lng': 125.71973}","[{'lat': 8.75049, 'lng': 125.71976}]",5099,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1126150959'}]",[{'phone': [{'value': '+638588302480'}]}],,,8.75048,125.71973
140,Cruizer,here:pds:place:608jx7ps-1974bf851aa0064eeabab96527166b33,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Cruizer, Pedro Escueta St, 4024 Biñan, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Calabarzon', 'county': 'Laguna', 'city': 'Biñan', 'district': 'Casile', 'street': 'Pedro Escueta St', 'postalCode': '4024'}","{'lat': 14.34031, 'lng': 121.08645}","[{'lat': 14.3404, 'lng': 121.08657}]",360,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1137844062'}]",,,,14.34031,121.08645
141,Caltex,here:pds:place:608wdw1e-7600101ac2ad4f2eb29ac82fd9cb6df0,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Caltex, Malvar, 4024 Biñan, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Calabarzon', 'county': 'Laguna', 'city': 'Biñan', 'district': 'San Vicente', 'street': 'Malvar', 'postalCode': '4024'}","{'lat': 14.33508, 'lng': 121.08629}","[{'lat': 14.33497, 'lng': 121.08637}]",487,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '878'}],"[{'supplier': {'id': 'core'}, 'id': '1137844619'}]",[{'www': [{'value': 'https://www.caltex.com/ph/en.html'}]}],,,14.33508,121.08629
142,Caltex A Bonifacio Street Binan,here:pds:place:608wdw1e-bf54a67674694e7a88d197f86d1f8f28,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Caltex A Bonifacio Street Binan, F. Balagtas St, 4024 Biñan, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Calabarzon', 'county': 'Laguna', 'city': 'Biñan', 'district': 'San Vicente', 'street': 'F. Balagtas St', 'postalCode': '4024'}","{'lat': 14.33497, 'lng': 121.08685}","[{'lat': 14.33497, 'lng': 121.08685}]",534,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,,[{'www': [{'value': 'https://www.caltex.com'}]}],,,14.33497,121.08685
143,Brgy. Casile Gasoline Station,here:pds:place:608jx7ps-1a9f2b676e6a0b16605a29a83e91d60f,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Brgy. Casile Gasoline Station, Pedro Escueta St, 4024 Biñan, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Calabarzon', 'county': 'Laguna', 'city': 'Biñan', 'district': 'Casile', 'street': 'Pedro Escueta St', 'postalCode': '4024'}","{'lat': 14.34331, 'lng': 121.08698}","[{'lat': 14.34331, 'lng': 121.08697}]",636,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1137843549'}]",,,,14.34331,121.08698
144,D Master Gasolin Station,here:pds:place:608wdw1e-8fd033dbe61544fbb53e07e0072b1e36,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'D Master Gasolin Station, National Hwy, 4024 Biñan, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Calabarzon', 'county': 'Laguna', 'city': 'Biñan', 'district': 'Santo Domingo', 'street': 'National Hwy', 'postalCode': '4024'}","{'lat': 14.33552, 'lng': 121.07828}","[{'lat': 14.33552, 'lng': 121.07828}]",669,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,,,,,14.33552,121.07828
145,D-Master,here:pds:place:608wdw1e-2697c83c6c324899b07fb3fa9d43d5ca,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'D-Master, National Hwy, 4024 Biñan, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Calabarzon', 'county': 'Laguna', 'city': 'Biñan', 'district': 'Santo Domingo', 'street': 'National Hwy', 'postalCode': '4024'}","{'lat': 14.33559, 'lng': 121.07818}","[{'lat': 14.33558, 'lng': 121.07817}]",675,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1201924442'}]",,,,14.33559,121.07818
